cve_id,risk_score,predicted_day_to_kev_quantile,description,vendorProject,product,vulnerabilityName
CVE-2025-14225,1.0,0.004240011226851852,,,,
CVE-2025-14218,1.0,0.004240011226851852,,,,
CVE-2025-14217,1.0,0.004240011226851852,,,,
CVE-2025-14216,1.0,0.004240011226851852,,,,
CVE-2025-14215,1.0,0.004240011226851852,,,,
CVE-2025-14214,1.0,0.004240011226851852,,,,
CVE-2025-14206,1.0,0.004240011226851852,,,,
CVE-2025-14008,1.0,0.004240011226851852,,,,
CVE-2025-14007,1.0,0.004240011226851852,,,,
CVE-2025-21072,1.0,0.004240011226851852,,,,
CVE-2025-20754,1.0,0.004240011226851852,,,,
CVE-2025-20753,1.0,0.004240011226851852,,,,
CVE-2025-20752,1.0,0.004240011226851852,,,,
CVE-2025-20751,1.0,0.004240011226851852,,,,
CVE-2025-20750,1.0,0.004240011226851852,,,,
CVE-2025-20389,1.0,0.004240011226851852,,,,
CVE-2025-20388,1.0,0.004240011226851852,,,,
CVE-2025-20387,1.0,0.004240011226851852,,,,
CVE-2025-20386,1.0,0.004240011226851852,,,,
CVE-2025-20385,1.0,0.004240011226851852,,,,
CVE-2025-20384,1.0,0.004240011226851852,,,,
CVE-2025-20383,1.0,0.004240011226851852,,,,
CVE-2025-20382,1.0,0.004240011226851852,,,,
CVE-2025-20090,1.0,0.004240011226851852,,,,
CVE-2025-20085,1.0,0.004240011226851852,,,,
CVE-2025-32519,1.0,0.004240011226851852,,,,
CVE-2025-32319,1.0,0.004240011226851852,,,,
CVE-2025-3125,1.0,0.004240011226851852,,,,
CVE-2025-29846,1.0,0.004240011226851852,,,,
CVE-2025-29845,1.0,0.004240011226851852,,,,
CVE-2025-29844,1.0,0.004240011226851852,,,,
CVE-2025-29843,1.0,0.004240011226851852,,,,
CVE-2025-26858,1.0,0.004240011226851852,,,,
CVE-2025-26519,1.0,0.004240011226851852,,,,
CVE-2025-23417,1.0,0.004240011226851852,,,,
CVE-2025-2291,1.0,0.004240011226851852,,,,
CVE-2025-22483,1.0,0.004240011226851852,,,,
CVE-2025-22399,1.0,0.004240011226851852,,,,
CVE-2025-22167,1.0,0.004240011226851852,,,,
CVE-2025-22166,1.0,0.004240011226851852,,,,
CVE-2025-21103,1.0,0.004240011226851852,,,,
CVE-2025-34404,1.0,0.004240011226851852,,,,
CVE-2025-34403,1.0,0.004240011226851852,,,,
CVE-2025-34402,1.0,0.004240011226851852,,,,
CVE-2025-34401,1.0,0.004240011226851852,,,,
CVE-2025-34400,1.0,0.004240011226851852,,,,
CVE-2025-34399,1.0,0.004240011226851852,,,,
CVE-2025-34398,1.0,0.004240011226851852,,,,
CVE-2025-34397,1.0,0.004240011226851852,,,,
CVE-2025-34239,1.0,0.004240011226851852,,,,
CVE-2025-34238,1.0,0.004240011226851852,,,,
CVE-2025-33211,1.0,0.004240011226851852,,,,
CVE-2025-33202,1.0,0.004240011226851852,,,,
CVE-2025-33201,1.0,0.004240011226851852,,,,
CVE-2025-33111,1.0,0.004240011226851852,,,,
CVE-2025-32919,1.0,0.004240011226851852,,,,
CVE-2025-32916,1.0,0.004240011226851852,,,,
CVE-2025-41079,1.0,0.004240011226851852,,,,
CVE-2025-40831,1.0,0.004240011226851852,,,,
CVE-2025-39664,1.0,0.004240011226851852,,,,
CVE-2025-39446,1.0,0.004240011226851852,,,,
CVE-2025-37160,1.0,0.004240011226851852,,,,
CVE-2025-37159,1.0,0.004240011226851852,,,,
CVE-2025-37157,1.0,0.004240011226851852,,,,
CVE-2025-37155,1.0,0.004240011226851852,,,,
CVE-2025-36140,1.0,0.004240011226851852,,,,
CVE-2025-36118,1.0,0.004240011226851852,,,,
CVE-2025-36102,1.0,0.004240011226851852,,,,
CVE-2025-36015,1.0,0.004240011226851852,,,,
CVE-2025-34409,1.0,0.004240011226851852,,,,
CVE-2025-34408,1.0,0.004240011226851852,,,,
CVE-2025-34407,1.0,0.004240011226851852,,,,
CVE-2025-34406,1.0,0.004240011226851852,,,,
CVE-2025-48586,1.0,0.004240011226851852,,,,
CVE-2025-48575,1.0,0.004240011226851852,,,,
CVE-2025-48569,1.0,0.004240011226851852,,,,
CVE-2025-48564,1.0,0.004240011226851852,,,,
CVE-2025-48555,1.0,0.004240011226851852,,,,
CVE-2025-48536,1.0,0.004240011226851852,,,,
CVE-2025-48525,1.0,0.004240011226851852,,,,
CVE-2025-48057,1.0,0.004240011226851852,,,,
CVE-2025-47658,1.0,0.004240011226851852,,,,
CVE-2025-46608,1.0,0.004240011226851852,,,,
CVE-2025-46261,1.0,0.004240011226851852,,,,
CVE-2025-4523,1.0,0.004240011226851852,,,,
CVE-2025-4522,1.0,0.004240011226851852,,,,
CVE-2025-4519,1.0,0.004240011226851852,,,,
CVE-2025-44015,1.0,0.004240011226851852,,,,
CVE-2025-41080,1.0,0.004240011226851852,,,,
CVE-2025-48622,1.0,0.004240011226851852,,,,
CVE-2025-48621,1.0,0.004240011226851852,,,,
CVE-2025-48618,1.0,0.004240011226851852,,,,
CVE-2025-48615,1.0,0.004240011226851852,,,,
CVE-2025-48614,1.0,0.004240011226851852,,,,
CVE-2025-48612,1.0,0.004240011226851852,,,,
CVE-2025-48608,1.0,0.004240011226851852,,,,
CVE-2025-48604,1.0,0.004240011226851852,,,,
CVE-2025-48603,1.0,0.004240011226851852,,,,
CVE-2025-48601,1.0,0.004240011226851852,,,,
CVE-2025-48600,1.0,0.004240011226851852,,,,
CVE-2025-48599,1.0,0.004240011226851852,,,,
CVE-2025-48598,1.0,0.004240011226851852,,,,
CVE-2025-48597,1.0,0.004240011226851852,,,,
CVE-2025-48592,1.0,0.004240011226851852,,,,
CVE-2025-48591,1.0,0.004240011226851852,,,,
CVE-2025-5317,1.0,0.004240011226851852,,,,
CVE-2025-52856,1.0,0.004240011226851852,,,,
CVE-2025-51683,1.0,0.004240011226851852,,,,
CVE-2025-51682,1.0,0.004240011226851852,,,,
CVE-2025-5114,1.0,0.004240011226851852,,,,
CVE-2025-49923,1.0,0.004240011226851852,,,,
CVE-2025-48639,1.0,0.004240011226851852,,,,
CVE-2025-48638,1.0,0.004240011226851852,,,,
CVE-2025-48632,1.0,0.004240011226851852,,,,
CVE-2025-48631,1.0,0.004240011226851852,,,,
CVE-2025-48629,1.0,0.004240011226851852,,,,
CVE-2025-48628,1.0,0.004240011226851852,,,,
CVE-2025-48626,1.0,0.004240011226851852,,,,
CVE-2025-48625,1.0,0.004240011226851852,,,,
CVE-2025-48624,1.0,0.004240011226851852,,,,
CVE-2025-48623,1.0,0.004240011226851852,,,,
CVE-2025-54629,1.0,0.004240011226851852,,,,
CVE-2025-54626,1.0,0.004240011226851852,,,,
CVE-2025-54621,1.0,0.004240011226851852,,,,
CVE-2025-54613,1.0,0.004240011226851852,,,,
CVE-2025-54612,1.0,0.004240011226851852,,,,
CVE-2025-54563,1.0,0.004240011226851852,,,,
CVE-2025-54353,1.0,0.004240011226851852,,,,
CVE-2025-54347,1.0,0.004240011226851852,,,,
CVE-2025-54341,1.0,0.004240011226851852,,,,
CVE-2025-54338,1.0,0.004240011226851852,,,,
CVE-2025-54326,1.0,0.004240011226851852,,,,
CVE-2025-54057,1.0,0.004240011226851852,,,,
CVE-2025-53965,1.0,0.004240011226851852,,,,
CVE-2025-53949,1.0,0.004240011226851852,,,,
CVE-2025-53939,1.0,0.004240011226851852,,,,
CVE-2025-53704,1.0,0.004240011226851852,,,,
CVE-2025-57489,1.0,0.004240011226851852,,,,
CVE-2025-57213,1.0,0.004240011226851852,,,,
CVE-2025-57212,1.0,0.004240011226851852,,,,
CVE-2025-57210,1.0,0.004240011226851852,,,,
CVE-2025-55753,1.0,0.004240011226851852,,,,
CVE-2025-55471,1.0,0.004240011226851852,,,,
CVE-2025-55469,1.0,0.004240011226851852,,,,
CVE-2025-55222,1.0,0.004240011226851852,,,,
CVE-2025-55221,1.0,0.004240011226851852,,,,
CVE-2025-55123,1.0,0.004240011226851852,,,,
CVE-2025-54851,1.0,0.004240011226851852,,,,
CVE-2025-54850,1.0,0.004240011226851852,,,,
CVE-2025-54849,1.0,0.004240011226851852,,,,
CVE-2025-54848,1.0,0.004240011226851852,,,,
CVE-2025-54838,1.0,0.004240011226851852,,,,
CVE-2025-54639,1.0,0.004240011226851852,,,,
CVE-2025-59595,1.0,0.004240011226851852,,,,
CVE-2025-59390,1.0,0.004240011226851852,,,,
CVE-2025-59048,1.0,0.004240011226851852,,,,
CVE-2025-58480,1.0,0.004240011226851852,,,,
CVE-2025-58479,1.0,0.004240011226851852,,,,
CVE-2025-58478,1.0,0.004240011226851852,,,,
CVE-2025-58477,1.0,0.004240011226851852,,,,
CVE-2025-58476,1.0,0.004240011226851852,,,,
CVE-2025-58436,1.0,0.004240011226851852,,,,
CVE-2025-58279,1.0,0.004240011226851852,,,,
CVE-2025-58098,1.0,0.004240011226851852,,,,
CVE-2025-58044,1.0,0.004240011226851852,,,,
CVE-2025-57823,1.0,0.004240011226851852,,,,
CVE-2025-57714,1.0,0.004240011226851852,,,,
CVE-2025-57698,1.0,0.004240011226851852,,,,
CVE-2025-57697,1.0,0.004240011226851852,,,,
CVE-2025-59810,1.0,0.004240011226851852,,,,
CVE-2025-59808,1.0,0.004240011226851852,,,,
CVE-2025-59792,1.0,0.004240011226851852,,,,
CVE-2025-59790,1.0,0.004240011226851852,,,,
CVE-2025-59775,1.0,0.004240011226851852,,,,
CVE-2025-59719,1.0,0.004240011226851852,,,,
CVE-2025-59718,1.0,0.004240011226851852,,,,
CVE-2025-59705,1.0,0.004240011226851852,,,,
CVE-2025-59703,1.0,0.004240011226851852,,,,
CVE-2025-59702,1.0,0.004240011226851852,,,,
CVE-2025-59701,1.0,0.004240011226851852,,,,
CVE-2025-59700,1.0,0.004240011226851852,,,,
CVE-2025-59699,1.0,0.004240011226851852,,,,
CVE-2025-59698,1.0,0.004240011226851852,,,,
CVE-2025-59697,1.0,0.004240011226851852,,,,
CVE-2025-59696,1.0,0.004240011226851852,,,,
CVE-2025-61929,1.0,0.004240011226851852,,,,
CVE-2025-61925,1.0,0.004240011226851852,,,,
CVE-2025-61915,1.0,0.004240011226851852,,,,
CVE-2025-61912,1.0,0.004240011226851852,,,,
CVE-2025-61911,1.0,0.004240011226851852,,,,
CVE-2025-61688,1.0,0.004240011226851852,,,,
CVE-2025-61498,1.0,0.004240011226851852,,,,
CVE-2025-61318,1.0,0.004240011226851852,,,,
CVE-2025-61229,1.0,0.004240011226851852,,,,
CVE-2025-61228,1.0,0.004240011226851852,,,,
CVE-2025-60854,1.0,0.004240011226851852,,,,
CVE-2025-60736,1.0,0.004240011226851852,,,,
CVE-2025-60696,1.0,0.004240011226851852,,,,
CVE-2025-60319,1.0,0.004240011226851852,,,,
CVE-2025-60024,1.0,0.004240011226851852,,,,
CVE-2025-59836,1.0,0.004240011226851852,,,,
CVE-2025-63227,1.0,0.004240011226851852,,,,
CVE-2025-62882,1.0,0.004240011226851852,,,,
CVE-2025-62728,1.0,0.004240011226851852,,,,
CVE-2025-62631,1.0,0.004240011226851852,,,,
CVE-2025-62569,1.0,0.004240011226851852,,,,
CVE-2025-62510,1.0,0.004240011226851852,,,,
CVE-2025-62509,1.0,0.004240011226851852,,,,
CVE-2025-62507,1.0,0.004240011226851852,,,,
CVE-2025-62426,1.0,0.004240011226851852,,,,
CVE-2025-62372,1.0,0.004240011226851852,,,,
CVE-2025-62371,1.0,0.004240011226851852,,,,
CVE-2025-62369,1.0,0.004240011226851852,,,,
CVE-2025-62259,1.0,0.004240011226851852,,,,
CVE-2025-62248,1.0,0.004240011226851852,,,,
CVE-2025-62247,1.0,0.004240011226851852,,,,
CVE-2025-62164,1.0,0.004240011226851852,,,,
CVE-2025-64116,1.0,0.004240011226851852,,,,
CVE-2025-64115,1.0,0.004240011226851852,,,,
CVE-2025-64081,1.0,0.004240011226851852,,,,
CVE-2025-63785,1.0,0.004240011226851852,,,,
CVE-2025-63784,1.0,0.004240011226851852,,,,
CVE-2025-63738,1.0,0.004240011226851852,,,,
CVE-2025-63691,1.0,0.004240011226851852,,,,
CVE-2025-63690,1.0,0.004240011226851852,,,,
CVE-2025-63681,1.0,0.004240011226851852,,,,
CVE-2025-63675,1.0,0.004240011226851852,,,,
CVE-2025-63533,1.0,0.004240011226851852,,,,
CVE-2025-63532,1.0,0.004240011226851852,,,,
CVE-2025-63317,1.0,0.004240011226851852,,,,
CVE-2025-63307,1.0,0.004240011226851852,,,,
CVE-2025-63229,1.0,0.004240011226851852,,,,
CVE-2025-63228,1.0,0.004240011226851852,,,,
