ablation,model,split,train_min_year,train_max_year,auroc,auprc,p@50,r@50,ndcg@50,p@100,r@100,ndcg@100,p@200,r@200,ndcg@200,p@500,r@500,ndcg@500,p@1000,r@1000,ndcg@1000
single,base_only,train,0,2024,0.5051527403559678,0.6956882136851537,0.0,0.0,0.0,0.01,0.0007513148009015778,0.00829877616945003,0.015,0.002253944402704733,0.012991451570111664,0.316,0.11870773854244929,0.25842276290912,0.654,0.49135987978963186,0.5715227495896639
single,base_only,test,0,2024,0.6129969654128044,0.10898562291037675,0.02,0.007042253521126761,0.025844335670336095,0.01,0.007042253521126761,0.015919507753606663,0.01,0.014084507042253521,0.017354394555068032,0.012,0.04225352112676056,0.03425646805256031,0.074,0.5211267605633803,0.2926305750815142
single,kde,train,0,2024,0.9999959519676677,0.9999971843955804,1.0,0.037565740045078885,1.0,1.0,0.07513148009015777,1.0,1.0,0.15026296018031554,1.0,1.0,0.3756574004507889,1.0,1.0,0.7513148009015778,1.0
single,kde,test,0,2024,0.9820778936533945,0.9560944273516655,1.0,0.352112676056338,1.0,1.0,0.704225352112676,1.0,0.67,0.9436619718309859,0.9583221028683201,0.272,0.9577464788732394,0.9671224101175278,0.14,0.9859154929577465,0.9829625717249952
single,xgb,train,0,2024,0.9999951423612011,0.9999966237191804,1.0,0.037565740045078885,1.0,1.0,0.07513148009015777,1.0,1.0,0.15026296018031554,1.0,1.0,0.3756574004507889,1.0,1.0,0.7513148009015778,1.0
single,xgb,test,0,2024,0.9703698883768803,0.9473844430480076,1.0,0.352112676056338,1.0,1.0,0.704225352112676,1.0,0.665,0.9366197183098591,0.9531782777706217,0.268,0.9436619718309859,0.9579875947262922,0.136,0.9577464788732394,0.9657181661886124
single,logreg,train,0,2024,0.9996518692194098,0.9997987303498489,1.0,0.037565740045078885,1.0,1.0,0.07513148009015777,1.0,1.0,0.15026296018031554,1.0,1.0,0.3756574004507889,1.0,1.0,0.7513148009015778,1.0
single,logreg,test,0,2024,0.9723308350734394,0.9484094413164458,1.0,0.352112676056338,1.0,1.0,0.704225352112676,1.0,0.665,0.9366197183098591,0.9531782777706217,0.27,0.9507042253521126,0.9620274245976598,0.137,0.9647887323943662,0.9698975498403659
single,rf,train,0,2024,1.0,1.0,1.0,0.037565740045078885,1.0,1.0,0.07513148009015777,1.0,1.0,0.15026296018031554,1.0,1.0,0.3756574004507889,1.0,1.0,0.7513148009015778,1.0
single,rf,test,0,2024,0.9676562102560765,0.943191449633458,1.0,0.352112676056338,1.0,1.0,0.704225352112676,1.0,0.665,0.9366197183098591,0.9531782777706217,0.268,0.9436619718309859,0.9574365270041462,0.135,0.9507042253521126,0.9614514715597362
single,pu,train,0,2024,0.9997522604212544,0.9998461646310505,1.0,0.037565740045078885,1.0,1.0,0.07513148009015777,1.0,1.0,0.15026296018031554,1.0,1.0,0.3756574004507889,1.0,1.0,0.7513148009015778,1.0
single,pu,test,0,2024,0.9721178815860302,0.9483773478309203,1.0,0.352112676056338,1.0,1.0,0.704225352112676,1.0,0.665,0.9366197183098591,0.9531782777706217,0.27,0.9507042253521126,0.9620284418513193,0.137,0.9647887323943662,0.9698915870998196
